OrderID,OrderDate,CustomerName,Category,Region,Quantity,UnitPrice ($),PaymentMethod,DeliveryStatus,TotalAmount ($)
46979aeb,2024-02-03,Customer_107,Home Decor,North,7,144.38,Credit Card,Pending,1010.66
0ac5e497,2024-04-18,Customer_108,Sports,North,9,520.74,PayPal,Cancelled,4686.66
59c1569f,2024-10-17,Customer_109,Beauty,North,3,877.99,PayPal,Delivered,2633.97
79c89198,2024-06-10,Customer_110,Electronics,South,7,742.06,Mobile Money,Pending,5194.42
ef64002a,2024-04-18,Customer_111,Beauty,Central,1,698.53,PayPal,Cancelled,698.53
8762eef9,2024-12-01,Customer_112,Beauty,North,4,703.97,PayPal,Delivered,2815.88
f4bbe2cd,2024-09-12,Customer_113,Beauty,East,4,362.69,Credit Card,Delivered,1450.76
bbb4308d,2024-07-21,Customer_114,Electronics,Central,5,297.12,Cash,Cancelled,1485.6
ed698f09,2024-11-25,Customer_115,Electronics,Central,7,810.31,PayPal,Pending,5672.17
4f3baae1,2024-08-22,Customer_116,Home Decor,South,7,811.06,PayPal,Returned,5677.42
5b68606c,2024-03-14,Customer_117,Beauty,West,4,867.74,Credit Card,Delivered,3470.96
7a3ec552,2024-05-15,Customer_118,Groceries,South,7,913.67,PayPal,Delivered,6395.69
66b5151c,2024-03-12,Customer_119,Sports,North,3,513.79,PayPal,Cancelled,1541.37
4c712a55,2024-05-06,Customer_120,Sports,East,6,504.01,Credit Card,Returned,3024.06
5492fcf3,2024-10-14,Customer_121,Electronics,East,2,799.3,Mobile Money,Returned,1598.6
5e5925b3,2024-10-02,Customer_122,Fashion,North,9,651.71,Mobile Money,Returned,5865.39
13c21d76,2024-05-14,Customer_123,Fashion,East,5,703.46,PayPal,Cancelled,3517.3
d12f57c2,2024-10-26,Customer_124,Fashion,South,6,796.81,PayPal,Pending,4780.86
a6900f82,2024-08-07,Customer_125,Toys,South,4,890.56,Cash,Delivered,3562.24
d330213c,2024-10-25,Customer_126,Home Decor,North,7,341.31,PayPal,Cancelled,2389.17
4b035cef,2024-07-23,Customer_127,Fashion,East,9,378.71,Cash,Returned,3408.39
660dd1cc,2024-07-04,Customer_128,Home Decor,Central,7,98.51,Mobile Money,Delivered,689.57
41888f93,2024-04-22,Customer_129,Fashion,West,1,580.39,PayPal,Delivered,580.39
d095fa6c,2024-03-11,Customer_130,Groceries,Central,1,40.76,PayPal,Returned,40.76
1cb958cc,2024-09-17,Customer_131,Home Decor,South,9,468.27,Credit Card,Returned,4214.43
0a2869aa,2024-09-09,Customer_132,Fashion,South,9,544.93,PayPal,Delivered,4904.37
6f007f66,2024-02-16,Customer_133,Sports,South,4,290.11,Mobile Money,Delivered,1160.44
c5e5f005,2024-01-25,Customer_134,Electronics,South,9,592.88,PayPal,Pending,5335.92
49c45281,2024-02-26,Customer_135,Home Decor,West,3,35.35,Cash,Pending,106.05
6c0cef08,2024-03-19,Customer_136,Sports,North,7,42.16,PayPal,Cancelled,295.12
b31ffcb8,2024-11-17,Customer_137,Sports,South,6,823.49,Cash,Delivered,4940.94
115227cd,2024-03-22,Customer_138,Sports,East,8,363.39,Credit Card,Pending,2907.12
9beaa692,2024-12-14,Customer_139,Toys,West,9,131.43,PayPal,Delivered,1182.87
737936cb,2024-08-04,Customer_140,Electronics,South,5,524.63,Credit Card,Returned,2623.15
38497fa3,2024-11-01,Customer_141,Electronics,East,1,771.14,Credit Card,Pending,771.14
7bd4f3dc,2024-02-02,Customer_142,Beauty,South,3,219.74,PayPal,Returned,659.22
5404b43a,2024-07-16,Customer_143,Toys,North,8,624.78,Cash,Returned,4998.24
c536c9c8,2024-07-14,Customer_144,Sports,West,6,89.92,PayPal,Returned,539.52
758cd678,2024-11-01,Customer_145,Electronics,North,8,56.42,Cash,Cancelled,451.36
19198cda,2024-08-27,Customer_146,Electronics,West,9,533.7,Credit Card,Returned,4803.3
25ee693a,2024-09-27,Customer_147,Sports,South,4,542.93,Mobile Money,Cancelled,2171.72
6685da50,2024-05-08,Customer_148,Sports,South,1,639.24,PayPal,Delivered,639.24
8532d015,2024-10-10,Customer_149,Fashion,West,1,727.46,Mobile Money,Delivered,727.46
bf3b1c8f,2024-01-06,Customer_150,Fashion,East,4,975.97,Cash,Pending,3903.88
7e644294,2024-12-14,Customer_151,Home Decor,East,7,518.72,PayPal,Pending,3631.04
d913b9d0,2024-02-28,Customer_152,Home Decor,South,2,326.34,Mobile Money,Cancelled,652.68
3a31c460,2024-12-15,Customer_153,Home Decor,South,3,796.21,Mobile Money,Delivered,2388.63
5a62db80,2024-10-01,Customer_154,Fashion,North,1,274.48,PayPal,Pending,274.48
c266902b,2024-05-16,Customer_155,Sports,South,5,441.78,Mobile Money,Pending,2208.9
bc656b41,2024-11-24,Customer_156,Home Decor,West,1,83.06,PayPal,Pending,83.06
f5573eb1,2024-06-23,Customer_157,Electronics,East,8,30.22,Mobile Money,Delivered,241.76
3b2fc59f,2024-02-27,Customer_158,Fashion,East,1,962.84,Credit Card,Pending,962.84
2d6fbf74,2024-05-30,Customer_159,Home Decor,North,1,836.8,PayPal,Delivered,836.8
42232d4d,2024-08-10,Customer_160,Electronics,East,2,697.49,Credit Card,Returned,1394.98
87a0013d,2024-03-21,Customer_161,Home Decor,East,2,411.91,Credit Card,Returned,823.82
cb4d1e77,2024-08-20,Customer_162,Groceries,Central,6,177.43,Mobile Money,Returned,1064.58
7780a8c7,2024-01-02,Customer_163,Sports,West,7,160.65,Cash,Cancelled,1124.55
fe3ffb06,2024-05-14,Customer_164,Sports,Central,5,253.99,Credit Card,Delivered,1269.95
fa62728d,2024-09-13,Customer_165,Home Decor,East,1,551.48,Credit Card,Pending,551.48
6f5b802d,2024-04-01,Customer_166,Groceries,North,1,716.02,Credit Card,Cancelled,716.02
48d004b0,2024-09-16,Customer_167,Home Decor,North,3,661.9,Cash,Cancelled,1985.7
6cc1ca29,2024-02-24,Customer_168,Beauty,East,2,283.53,Cash,Returned,567.06
275cf233,2024-11-16,Customer_169,Beauty,South,5,955.09,Credit Card,Delivered,4775.45
5c132a57,2024-06-01,Customer_170,Sports,Central,6,739.21,Cash,Pending,4435.26
7d00b5d6,2024-11-23,Customer_171,Toys,East,7,556.58,Cash,Cancelled,3896.06
